All,הכל
"The credit memo's total must be positive.","סך הזיכוי חייב להיות חיובי."
"We can't save the credit memo right now.","אנחנו לא יכולים לשמור את הזיכוי כרגע."
"We can't update the item's quantity right now.","אנחנו לא יכולים לעדכן את הכמות של הפריט כרגע."
"We can't void the credit memo.","אנחנו לא יכולים לבטל את הזיכוי."
"The order no longer exists.","ההזמנה כבר לא קיימת."
"We can't create credit memo for the order.","אנחנו לא יכולים ליצור זיכוי עבור ההזמנה."
"Edit Order","עריכת הזמנה"
"We can't send the email order right now.","אנחנו לא יכולים לשלוח את הדואר האלקטרוני עבור ההזמנה כרגע."
"We can't send the invoice email right now.","אנחנו לא יכולים לשלוח את הדואר האלקטרוני עבור החשבונית כרגע."
"We can't send the shipment right now.","אנחנו לא יכולים לשלוח את המשלוח כרגע."
"We can't update the payment right now.","אנחנו לא יכולים לעדכן את התשלום כרגע."
"We can't find this order status.","אנחנו לא יכולים למצוא את מצב ההזמנה."
"We can't add the order status right now.","אנחנו לא יכולים להוסיף את מצב ההזמנה כרגע."
"Can't unhold order.","לא ניתן לבטל את השהיית ההזמנה."
"We can't void the payment right now.","אנחנו לא יכולים לבטל את התשלום כרגע."
"We can't update the transaction details.","אנחנו לא יכולים לעדכן את פרטי הטרנזקציה."
"Orders and Returns","הזמנות והחזרות"
"Please enter the street.","אנא הזינו רחוב."
"Please enter the city.","אנא הזינו עיר."
"Please enter the phone number.","אנא הזינו את מספר הטלפון."
"Please enter the zip/postal code.","אנא הזינו מיקוד."
"Please enter the country.","אנא הזינו מדינה."
"Unknown Status","סטטוס לא ידוע"
"Payment transactions disallow storing objects.","תנועות התשלום לא מאפשרת אחסון אובייקטים."
"You can't do this without a transaction object.","אינך יכול לעשות זאת ללא אובייקט טרנזקציה."
"Order Date: ","תאריך הזמנה: "
"Total Shipping Charges","חיובי משלוח כולל"
"We don't recognize the draw line data. Please define the ""lines"" array.","אנחנו לא מזהים את הנתונים בנתוני הסכמה הקווית. אנא הגדר את המערך ""שורות""."
Tax,"מע""מ"
"Excl. Tax","ללא מע""מ"
"We don't have enough information to save the parent transaction ID.",". אין לנו מספיק מידע כדי לשמור את מזהה ההורה של הטרנזקציה."
"New Orders","הזמנות חדשות"
"Order #%1 created at %2","הזמנה #%1 שנוצרו ב- %2"
"Details for %1 #%2","פרטים עבור %1 #%2"
"Comment: %1<br/>","הערה: %1 <br/>"
"Current Status: %1<br/>","מצב נוכחי: %1 <br/>"
"Total: %1<br/>","סך הכל: %1 <br/>"
"Order # %1 Notification(s)","הזמנה # %1 התראות"
Complete,הושלמה
"Email has not been sent","הדוא""ל לא נשלח"
"No Payment Methods","אין שיטות תשלום"
"You don't need to select a shipping address.","אתה לא צריך לבחור כתובת משלוח."
"Custom Price","מחיר מותאם אישית"
"You don't need to select a shipping method.","אתה לא צריך לבחור שיטת משלוח."
"Customer's Activities","הפעילויות של הלקוח"
"Append Comments","צרף הערות"
"Grand Total Excl. Tax","סה""כ הזמנה ללא מע""מ"
"Grand Total Incl. Tax","סה""כ הזמנה כולל מע""מ"
"Subtotal (Excl. Tax)","סכום ביניים (ללא מע""מ)"
"Payment &amp; Shipping Method","שיטות תשלום ומשלוח"
"The order was placed using %1.","ההזמנה בוצעה באמצעות %1."
"Tax Amount","סכום מע""מ"
"No Items","אין פריטים"
"Customer Name: %1","שם הלקוח: %1"
"Purchased From: %1","רכש מ: %1"
"Shipping &amp; Handling","טיפול ומשלוח"
"Total Tax","סה""כ מע""מ"
"Order Date","תאריך הזמנה"
"Purchased From","נרכש מ"
"Is Closed",סגורה
"Shipped By","נשלח על ידי"
"Tracking Number","מספר מעקב"
"Print Order","הדפס הזמנה"
"Recent Orders","הזמנות האחרונות"
"Recently Ordered","הוזמנו לאחרונה"
"Credit memo for your %store_name order","הזיכוי עבור ההזמנה %store_name"
"Thank you for your order from %store_name.","תודה על הזמנתך מ- %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","באפשרותך לבדוק את מצב ההזמנה שלך באמצעות <a href=""%account_url""> התחברות לחשבון שלך</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","אם יש לך שאלות לגבי ההזמנה שלך, אתה יכול לשלוח לנו דוא''ל- <a href=""mailto:%store_email""> %store_email</a>"
"Your Credit Memo #%creditmemo_id for Order #%order_id","תזכיר האשראי שלך #%creditmemo_id עבור הזמנה #%order_id"
"Billing Info","פרטי חיוב"
"Update to your %store_name credit memo","לעדכן את הזיכוי עבור %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","הזמנתך %increment_id # עודכנה לסטטוס <strong>%order_status</strong>."
"Invoice for your %store_name order","החשבונית עבור ההזמנה %store_name"
"Your Invoice #%invoice_id for Order #%order_id","חשבוניתך %invoice_id # עבור הזמנה #%order_id"
"Update to your %store_name invoice","לעדכן את החשבונית %store_name"
"Your %store_name order confirmation","אישור ההזמנה שלך %store_name"
"Once your package ships we will send you a tracking number.","ברגע שהחבילה שלך תשלח תקבל מספר מעקב."
"Your Order <span class=""no-link"">#%increment_id</span>","הזמנתך <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","נוצרה ב <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","ברגע שהחבילה שלך תשלח תקבל מייל עם קישור למעקב על הזמנתך."
"Update to your %store_name order","לעדכן את ההזמנה %store_name שלך"
"Your %store_name order has shipped","%store_name ההזמנה שלך נשלחה"
"Your shipping confirmation is below. Thank you again for your business.","להלן אישור המשלוח שלך. תודה על רכישתך."
"Your Shipment #%shipment_id for Order #%order_id","המשלוח שלך %shipment_id # עבור הזמנה #%order_id"
"Update to your %store_name shipment","עדכן את %store_name לשילוח"
"Gift Options for ","אפשרויות מתנה "
"Include Tax to Amount","הוסף מע""מ לסכום ההזמנה"
"Asynchronous sending","שליחה אסינכרונית"
"Shipment Comments","הערות משלוח"
"Customer Order Status Notification","התראות סטטוס הזמנות ללקוח"
"Asynchronous indexing","אינדקס אסינכרוני"
"Orders and Returns Search Form","טופס חיפוש של הזמנות והחזרות"
"Invoice Date","תאריך חשבונית"
"Total Quantity","סהכ כמות"
"Tax Percent","אחוז מע""מ"
"Print All","הדפס הכול"
"Print Shipping Labels","הדפס תוויות משלוח"
"Purchase Date","תאריך רכישה"
"Shipping and Handling","טיפול ומשלוח"
"Move to Archive","העבר לארכיון"
"Move to Order Management","העבר לניהול הזמנה"
"We have archived the order.","הוספנו את ההזמנה לארכיון."
"Please specify the order ID to be archived.","נא ציין את מזהה ההזמנה לארכיון."
"We archived %1 order(s).","שמנו בארכיון את ההזמנות%1."
"We can't archive the selected order(s).","אנחנו לא יכולים לאחסן בארכיון את ההזמנות שנבחרו."
"We removed %1 order(s) from the archive.","הוסרו %1 מוצר/ים מתוך הארכיון."
"We have removed the order from the archive.","להוציא את הסדר מתוך הארכיון."
"Restore from Archive","שיחזור מארכיון"
"Orders, Invoices, Shipments, Credit Memos Archiving","הזמנות, חשבוניות, משלוחים, תזכירי אשראי בארכיון"
"Enable Archiving","אפשר אחסון בארכיון"
"Order Statuses to be Archived","סטטוסי הזמנה המיועדים לארכיון"
"Mass Add","הוספה מרובה"
"Go to Archive","מעבר לארכיון"
"Are you sure you want to delete this?","האם אתה בטוח שברצונך למחוק את זה?"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","החל את החוק רק עבור פריטים תואמים מהעגלה לפי התנאים הבאים (השאר ריק עבור כל הפריטים)."
"Apply the rule only if the following conditions are met (leave blank for all products).","החל את החוק רק אם התנאים הנ""ל מתקיימים ( השאר ריק לכל המוצרים)."
"Manage Coupon Codes","ניהול קודי קופון"
"Coupon Qty","כמות קופון"
"If empty no separation.","במידה וריק ללא הפרדה."
"Times Used","מספר שימושים"
"Are you sure you want to delete the selected coupon(s)?","האם אתה בטוח שברצונך למחוק את הקופונים שנבחרו?"
Labels,תויות
"%1 - Discounts and Coupons","%1 - הנחות וקופונים"
Coupons/Discounts,קופונים/הנחות
"We can't delete the rule right now. Please review the log and try again.","אנו לא יכולים למחוק את הכלל. יש לבדוק את הלוג ולנסות שוב."
"Rule is not defined","כלל לא מוגדר"
"Error occurred when saving coupon: %1","אירעה שגיאה בעת שמירת קופון: %1"
"No Coupon","ללא קופון"
"Specific Coupon","קופון ספציפי"
"Can't acquire coupon.","אין גישה לקופון."
"Percent of product price discount","אחוז הנחה ממחיר המוצר"
FOUND,נמצא
"NOT FOUND","לא נמצא"
"total quantity","כמות כוללת"
"total amount","סך הכל"
Promotion,מבצעים
"Uses per Coupon","שימוש עבור קופון"
"Uses per Customer","שימשו עבור לקוח"
"Public In RSS Feed","פומבי בפיד RSS"
"An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2","אירעה שגיאה במהלך העיבוד; תאריך התפוגה של קופון%1 לא עודכן. הודעת השגיאה היתה: %2"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","עדכון עתידי נכון לעכשיו כבר קיים. בחר טווח שונה להוספת עדכון עתידי חדש."
"Not enough arguments","אין מספיק ארגומנטים"
"Fatal Error","שגיאה פאטלית"
"Use deferred Stock update","להשתמש בעדכון המלאי שנדחה"
"Use Deferred Stock Update","להשתמש בעדכון המלאי שנדחה"
"Add Scheduled Export","להוסיף ייבוא מתוזמן"
"Add Scheduled Import","להוסיף ייבוא מתוזמן"
"Scheduled Import/Export","ייבוא/ייצוא מתוזמן"
"Please correct the scheduled operation type.","נא תקן את סוג הפעולה המתוזמנת."
"Server Type","סוג שרת"
"File Directory","תיקיית הקובץ"
"FTP Host[:Port]","FTP המארח [פורט:]"
"File Mode","מצב קובץ"
"Passive Mode","מצב פסיבי"
"Failed Email Template","תבנית דואר אלקטרוני נכשלה"
"Export File Information","ייצוא פרטי קובץ"
"File Format","פורמט קובץ"
"Import File Information","ייבוא פרטי קובץ"
"File Name","שם קובץ"
"Clean Now","לנקות עכשיו"
"We can't run the operation right now, see error log for details.","לא ניתן להריץ את הפעולה בשלב זה, פרטים נוספים בלוג השגיאות."
"We can't delete the scheduled operation right now.","לא ניתן למחוק את הפעולה המתוזמן בשלב זה."
"We can't delete the history files right now.","לא ניתן למחוק את קבצי ההסטוריה בשלב זה."
"We can't delete all the items right now.","לא ניתן למחוק את כל הפריטים בשלב זה."
"We can't save the scheduled operation right now.","לא ניתן לשמור את הפעולה בשלב זה."
"We can't delete ""%1"" because the directory is not writable.","לא ניתן למחוק את ""%1"" משום שלתיקייה אין הרשאות כתיבה."
"Scheduled Import","ייבוא מתוזמן"
"Scheduled Export","ייצוא מתוזמן"
"New Scheduled Export","ייצוא מתוזמן חדש"
"You saved the scheduled report.","שמרת את הדוח המתוזמן."
"Something went wrong and the operation failed.","משהו השתבש והפעולה נכשלה."
"We can't read the file source because the file name is empty.","לא ניתן לקרוא את מקור הקובץ משום ששם הקובץ ריק."
"Connecting to server","מתחבר לשרת"
"We can't read the import file.","לא ניתן לקרוא את הקובץ המיובא."
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","אנחנו לא יכולים לכתוב קובץ ""%1"" ""%2"" עם ""%3"" דרייבר."
"Save file content","שמירת תוכן הקובץ"
"Import path %1 not exists","נתיב ייבוא %1 לא קיים"
"We can't read the file.","לא ניתן לקרוא את הקובץ."
"We can't save the file history file.","לא ניתן לשמור את קובץ ההסטוריה."
"Unknown file format","סיומת קובץ לא ידועה"
Successful,הצליח
"Save Files, Days","שמירת קבצים, ימים"
"Search Term","תנאי חיפוש"
"Search Synonyms","חיפוש מילים נרדפות"
"New Synonym Group","קבוצה חדשה לביטויים נרדפים"
"Delete Synonym Group","מחיקת קבוצת ביטויים נרדפים"
"Are you sure you want to delete this synonym group?","האם ברצונך למחוק את קבוצת הביטויים הנרדפים?"
"Save Synonym Group","שמירת קבוצת ביטויים נרדפים"
"Save Search","שמירת חיפוש"
"Delete Search","מחיקת חיפוש"
"Edit Search '%1'","עריכת חיפוש '%1'"
"New Search","חיפוש חדש"
"Search Information","מידע על החיפוש"
"Number of results","מספר תוצאות"
"Number of results (For the last time placed)","מספר תוצאות (מהפעם האחרונה)"
"For the last time placed.","בפעם האחרונה."
"Number of Uses","מספר השימושים"
"ex. http://domain.com","לדוגמא http://domain.com"
"Display in Suggested Terms","הצגה במונחים המוצעים"
"The synonym group has been deleted.","קבוצת הביטויים הנרדפים נמחקה."
"An error was encountered while performing delete operation.","נתגלתה שגיאה בעת ביצוע פעולת המחיקה."
"We can't find a synonym group to delete.","לא ניתן למצוא קבוצת ביטויים נרדפים למחיקה."
"This synonyms group no longer exists.","קבוצת ביטויים נרדפים זו לא קיימת."
"Edit Synonym Group","עריכת קבוצת ביטויים נרדפים"
"Synonym Group","קבוצת ביטויים נרדפים"
"Failed to delete %1 synonym group(s).","מחיקת קבוצת/קבוצות ביטויים נרדפים %1 נכשלה."
"A total of %1 synonym group(s) have been deleted.","%1 קבוצות ביטויים נרדפים נמחקו."
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","חיפוש ביטויים נרדפים אינו נתמך במנוע החיפוש %1. בביטויים הנרדפים שהוזנו לא ייעשה שימוש."
"This synonym group no longer exists.","קבוצת ביטויים נרדפים זו לא קיימת."
"You saved the synonym group.","קבוצת ביטויים נרדפים נשמרה."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","הערכים שהוזנו, (%1), שייכים לקבוצת ביטויים נרדפים אחרת, %2. יש לבחור בתיבת הסימון ""מיזוג ביטויים נרדפים"" כדי למזג את הערכים."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","הערכים שהוזנו, (%1), שייכים ל %2 קבוצות ביטויים נרדפים אחרות, %3 ו %4. יש לבחור בתיבת הסימון ""מיזוג ביטויים נרדפים"" כדי למזג את הערכים."
"You deleted the search.","החיפוש נמחק."
"We can't find a search term to delete.","לא נמצאו חיפושים למחיקה."
"This search no longer exists.","החיפוש לא קיים."
"Edit Search","עריכת חיפוש"
"Please select searches.","יש לבחור חיפושים."
"Search Terms Report","דו""ח ביטויי חיפוש"
"You saved the search term.","ביטוי החיפוש נשמר."
"Something went wrong while saving the search query.","ארעה תקלה בעת שמירת שאילתת החיפוש."
"You already have an identical search term query.","שאילתת חיפוש עם ביטוי זהה כבר קיימת."
"Your search query can't be longer than %1, so we shortened your query.","שאילתת החיפוש שלך לא יכולה להיות ארוכה יותר מ- %1, לכן נאלצנו לקצרה."
"Merge conflict with existing synonym group(s): %1","מיזוג כפילויות עם קבוצת הביטויים הנרדפים: %1"
"Are you sure you want to delete synonym group with id: %1?","האם ברצונך למחוק את קבוצת הביטויים הנרדפים בעלת המזהה %1?"
"    All Store Views","    כל תצוגות החנות"
"Search entire store here...","חיפוש בכל החנות..."
"There are no search terms available.","אין ביטויי חיפוש."
"Search Engine","מנוע חיפוש"
Hits,כניסות
"Suggested Terms","ערכים מוצעים"
"You can adjust the scope of this synonym group by selecting an option from the list.","ניתן לשנות את טווח קבוצת ביטויים נרדפים זו על-ידי בחירת אפשרויות מהרשימה."
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","רשימה מופרדת באמצעות פסיק של ביטויים נרדפים. כל אחד מהערכים שהוכנסו (מופרדים בפסיקים) ישמשו בחיפוש בכל החנות. לדוגמה, אם יוזן ""נעליים, הנעלה"", משתמש שיחפש ""נעליים"", יקבל בתוצאות החיפוש כל מוצר או תוכן המכילים את הביטויים ""נעליים"" או ""הנעלה""."
Synonyms,"ביטויים נרדפים"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","מיזוג אוטומאטי של ביטויים נרדפים בקבוצות בעלות טווח זהה. אם האפשרות מסומנת, וקיימים ערכים זהים בקבוצות שונות באותו טווח, הערכים ימוזגו אל קבוצה אחת. כדי להמנע ממיזוג יש להסיר את הסימון מהאפשרות. במקרה כזה תוצג הודעת שגיאה במקרה של ערך שקיים זה מכבר."
"Are you sure you want to delete the selected synonym groups?","האם ברצונך למחוק את קבוצת הביטויים הנרדפים שנבחרה?"
"Account Activity","פעילויות בחשבון"
"All other open sessions for this account were terminated.","כל הסשנים אשר פתוחים עבור חשבון זה יושבתו."
"We couldn't logout because of an error.","לא התנתקת עקב שגיאה."
"Someone logged into this account from another device or browser. Your current session is terminated.","מישהו מחובר לחשבון הזה דרך התקן או דפדפן אחר. הסשן הנוכחי שלך יסתיים."
"Your current session is terminated by another user of this account.","הסשן הנוכחי שלך הסתיים על ידי משתמש אחר של חשבון זה."
"Your current session has been expired.","הסשן הנוכחי שלך פג."
"By IP and Email","על-ידי IP ודואר אלקטרוני"
"By IP","לפי IP"
"By Email","באמצעות דואר אלקטרוני"
"Time of session start","שעת התחלת סשן"
"Log out all other sessions","ניתוק כל הפעולות האחרות"
"This computer is using IP address %1.","מחשב זה משתמש בכתובת IP %1."
"Password Reset Protection Type","סוג הגנת איפוס סיסמה"
"Min Time Between Password Reset Requests","זמן מינימלי בין בקשות איפוס סיסמה"
"You can't send messages more than %1 times an hour.","לא ניתן לשלוח יותר מ-%1 הודעות בשעה."
"The link to a friend was sent.","הקישור לחבר נשלח."
"We found some problems with the data.","מצאנו כמה בעיות עם הנתונים."
"Some emails were not sent.","כמה מיילים לא נשלחו."
"You've met your limit of %1 sends in an hour.","הגעת להגבלה של %1 הודעות בשעה."
"Please enter a sender name.","אנא הזן שם השולח."
"Invalid Sender Email","דואר אלקטרוני של השולח לא חוקי"
"Please enter a message.","נא בחר הודעה."
"Please specify at least one recipient.","נא ציין לפחות נמען אחד."
"Please enter a correct recipient email address.","אנא הכנס כתובת הדואר האלקטרוני של הנמען הנכון."
"No more than %1 emails can be sent at a time.","לא ניתן לשלוח יותר מ%1 מיילים בו זמנית."
"Please define a correct product instance.","נא להגדיר סוג מוצר נכון."
"Invalid Sender Information","פרטי שולח לא חוקיים"
"Cookie (unsafe)","Cookie(לא מאובטח)"
"Remove Recipent","הסרת נמען"
Assign,שיוך
of,מתוך
Assigned,הוקצה
"New Shipment for Order #%1","תעודת משלוח חדשה עבור הזמנה מספר %1"
"Submit Shipment","שלח משלוח"
"You are trying to add a quantity for some products that doesn't match the quantity that was shipped.","הינך מנסה להוסיף כמות עבור מוצרים אשר אינם תואמים את הכמות אשר נשלחה."
"The value that you entered is not valid.","הערך שהזנת אינו חוקי."
"Add Tracking Number","הוסף מספר מעקב"
"Send Tracking Information","שלח מידע מעקב"
"Are you sure you want to send a Shipment email to customer?","האם אתה בטוח שברצונך לשלוח דואר אלקטרוני עבור המשלוח ללקוח?"
"the shipment email was sent","דואר אלקטרוני עבור המשלוח נשלח"
"the shipment email is not sent","דואר אלקטרוני עבור המשלוח לא נשלח"
"Shipment #%1 | %3 (%2)","משלוח #%1 | %3 (%2)"
"Create Shipping Label...","צור תווית משלוח..."
"Delivered on:","נמסר ב:"
"About Your Shipment","אודות המשלוח שלך"
"We can't initialize shipment for adding tracking number.","אין אפשרות לאתחל משלוח עבור הוספת מספר המעקב."
"Cannot add tracking number.","אין אפשרות להוסיף מספר המעקב."
"You created the shipping label.","יצירת את תווית המשלוח."
"An error occurred while creating shipping label.","אירעה שגיאה בעת יצירת תווית המשלוח."
"You sent the shipment.","שלחת את המשלוח."
"Cannot send shipment information.","אין אפשרות לשלוח מידע אודות המשלוח."
"There are no shipping labels related to selected orders.","אין תוויות משלוח הקשורות להזמנות שנבחרו."
"New Shipment","משלוח חדש"
"We can't delete tracking number.","לא ניתן למחוק את מספר המעקב."
"We can't save the shipment right now.","לא ניתן לשמור את תעודת המשלוח כרגע."
"The shipment has been created.","המשלוח נוצר."
"Cannot save shipment.","אין אפשרות לשמור את המשלוח."
"Cannot do shipment for the order separately from invoice.","לא ניתן לשלח הזמנה בנפרד מהחשבונית."
"Cannot do shipment for the order.","לא ניתן לשלח הזמנה."
"There are no shipping labels related to selected shipments.","אין תוויות משלוח הקשורות למשלוחים שנבחרו."
"The shipping module is not available.","מודול המשלוח אינו זמין."
"This shipping method is not available. Please specify the zip code.","שיטת משלוח זו אינה זמינה, נא לציין מיקוד."
Development,פיתוח
Live,חי
"Divide to equal weight (one request)","חלוקה למשקל שווה (בקשה אחת)"
"Use origin weight (few requests)","השתמש במשקל המקורי (כמה בקשות)"
"Signature Confirmation","אימות חתימה"
Contents,תכנים
Girth,היקף
"Shipping labels is not available.","תווית משלוח אינן זמינות."
"Response info is not exist.","פרטי התגובה לא קיימים."
"Per Package","לכל חבילה"
"Tracking information is unavailable.","מידע אודות מעקב לא זמין."
"Items to Ship","פריטים לשליחה"
"Qty to Ship","כמות לשליחה"
"Shipment Total","סך כל המשלוח"
"Shipment Options","אפשרויות משלוח"
"Email Copy of Shipment","עותק מהדוא""ל עבור המשלוח"
"Invalid value(s) for Qty to Ship","ערכים לא חוקיים עבור כמות לשליחה"
"Add Selected Product(s) to Package","להוסיף את המוצרים שנבחרו לחבילה"
"Add Products to Package","הוסף מוצרים לחבילה"
in,אינץ'
lb,פאונד
kg,ק״ג
"Delete Package","מחק חבילה"
Explanation,הסבר
"Shipping &amp; Handling Information","מידע עבור משלוח וטיפול"
"Track Order","מעקב הזמנה"
"Items Shipped","פריטים שנשלחו"
"Shipment History","היסטוריית משלוחים"
"Print All Shipments","הדפס את כל המשלוחים"
"Shipment #","משלוח #"
"Print Shipment","הדפס משלוח"
"Tracking Number(s):","מספרי מעקב:"
"Order tracking","מעקב הזמנה"
"Tracking Number:","מספר מעקב:"
Carrier:,מוביל:
"Tracking information is currently not available. Please ","מידע עבור המעקב לא זמין כעת. בבקשה "
"contact us","צור עימנו קשר"
" for more information or "," לקבלת מידע נוסף או "
"email us at ","שלח לנו דוא""ל לכתובת "
Info:,מידע:
Track:,מעקב:
"There is no tracking available for this shipment.","אין מעקב זמין עבור משלוח זה."
"There is no tracking available.","אין מעקב זמין."
"Track history","היסטוריית מעקב"
"Local Time","זמן מקומי"
"See our Shipping Policy","ראה את מדיניות המשלוחים שלנו"
"Shipping Settings Section","סעיף ההגדרות משלוח"
"Shipping Policy Parameters Section","סעיף פרמטרים של מדיניות משלוח"
"Shipping Settings","הגדרות משלוח"
Origin,מקור
"Shipping Policy Parameters","פרמטרי מדיניות משלוחים"
"Apply custom Shipping Policy","החל מדיניות משלוחים מותאמת אישית"
"Shipping Policy","מדיניות משלוחים"
"Save & Generate","שמור וצור"
"Edit Sitemap","עריכת מפת האתר"
"New Sitemap","מפת האתר החדשה"
"Sitemap Information","מידע עבור מפת אתר"
Sitemap,"מפת אתר"
"example: sitemap.xml","דוגמה: sitemap. xml"
"Add Sitemap","הוספת מפת אתר"
"You deleted the sitemap.","מחקת את מפת האתר."
"We can't find a sitemap to delete.","לא ניתן למצוא את מפת האתר למחיקה."
"This sitemap no longer exists.","מפת אתר זו אינה קיימת יותר."
"Site Map","מפת אתר"
"New Site Map","מפת אתר חדשה"
"The sitemap ""%1"" has been generated.","מפת האתר ""%1"" נוצרה."
"We can't generate the sitemap right now.","איננו יכולים ליצור את מפת האתר נכון לעכשיו."
"We can't find a sitemap to generate.","לא נמצא מפת אתר שניתן לייצר."
"You saved the sitemap.","שמרת את מפת האתר."
"The priority must be between 0 and 1.","העדיפות חייבת להיות בין 0 ל-1."
Yearly,שנתי
"File handler unreachable","המטפל בקבצים בלתי ניתן להשגה"
"Please define a correct path.","אנא הגדר נתיב תקין."
"CMS Pages Options","אפשרויות דפי CMS"
"Maximum File Size","גודל קובץ מקסימלי"
"Link for Google","קישור עבור- Google"
"Last Generated","האחרון שנוצר"
"We were unable to perform the search because of a search engine misconfiguration.","לא הצלחנו לבצע את החיפוש בגלל הגדרה שגויה במנוע החיפוש."
"Final commit","פעולת commit אחרונה"
"Partial commit","Commit חלקי"
"Engine autocommit","מנוע auto commit"
"Solr Server Hostname","שם המארח של שרת Solr"
"Solr Server Port","יציאת שרת Solr"
"Solr Server Username","שם המשתמש של שרת Solr"
"Solr Server Password","סיסמא עבור שרת solr"
"Solr Server Timeout","הזמן הקצוב של השרת Solr"
"Solr Server Path","נתיב השרת Solr"
"Indexation Mode","מצב אינדוקס"
"Please fill in Hostname, Port, Path","אנא מלא את שם השרת, פורט, נתיב"
"Remove from Update","הסר מהעדכון"
"Schedule New Update","מועד עדכון חדש"
"View Specific Date","תצוגת תאריך מסוים"
"Date & Time","תאריך ושעה"
"This update not exists.","עדכון זה אינו קיים."
"Edit Existing Update","ערוך עדכון קיים"
"Assign to Another Update","שייך לעדכון אחר"
"You removed this %1 from the update.","הסרת את %1 מהעדכון."
"You removed this %1 from the update and saved it in a new one.","הסרת את %1 מהעדכון ושמרת אותו באחד חדש."
"Something went wrong while removing the %1.","משהו השתבש בעת הסרת %1."
"You saved this %1 update.","שמרת את העדכון %1."
"Something went wrong while saving the %1.","משהו השתבש בעת שמירת ה%1."
"Repository should return instance of %s","מאגר צריך להחזיר מופע של %s"
Test,בדיקה
"This action is unavailable","פעולה זו אינה זמינה"
Calendar,"לוח שנה"
"Belongs to ","שייך ל "
"Share Preview Link","שתף קישור תצוגה מקדימה"
Includes,כולל
"Current store is not active.","חנות נוכחית לא פעילה."
"Requested store is inactive","החנות המבוקשת לא פעילה"
"Environment emulation nesting is not allowed.","סביבת אמולציה מקוננת לא מאופשרת."
"Store with the same code","חנות עם אותו קוד"
"Website with the same code","אתר עם אותו קוד"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","קוד אתר יכול להכיל רק אותיות (a-z), ספרות (0-9) או קו תחתון(_), והתו הראשון חייב להיות אות."
"Store is inactive","החנות לא פעילה"
"Invalid store parameter.","פרמטר חנות לא חוקי."
"Default store is inactive","חנות ברירת מחדל לא פעילה"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","קוד חנות יכול להכיל רק אותיות (a-z), ספרות (0-9) או קו תחתון(_), והתו הראשון חייב להיות אות."
"Name is required","דרוש שם"
"no such entity exception","לא קיימת חריגות ליישות זו"
"Your Language:","השפה שלך:"
"Your Language","השפה שלך"
Language,שפה
"Select Store","בחר חנות"
"Various XML configurations that were collected across modules and merged","מוזגו תצורות XML שונות שאספנו בין מודולים"
Layouts,סידורים
"Layout building instructions","הוראות בניית סידורים"
"Blocks HTML output","פלט בלוקי HTML"
"Page blocks HTML","בלוקים דף HTML"
"Collections Data","נתוני אוספים"
"Collection data files","אוסף קבצי נתונים"
"Reflection Data","שיקוף נתונים"
"API interfaces reflection data","שיקוף נתונים ממשקי API"
"Database DDL operations","פעולות DDL במסד נתונים"
"Results of DDL queries, such as describing tables or indexes","התוצאות של שאילתות DDL, כגון המתאמות טבלאות או אינדקסים"
"Backup Log Details","גיבוי פרטי הרישום עבור הלוג"
"Requested system report has no data to output.","הדוח המבוקש עבור המערכת לא מכיל נתונים לפלט."
"Are you sure you want to delete the system report?","האם אתה בטוח שברצונך למחוק את הדוח של המערכת?"
"Go to Top","ללכת לעליון"
"System Report Information","דוח מידע של מערכת"
"Requested system report has no data to display.","המערכת מבקשת את הדוח המכיל נתונים להצגה."
"Output path %1 doesn't exist","פלט עבור נתיב %1 לא קיים"
Support,תמיכה
"Data Collector","מלקט נתונים"
"The backup has been saved.","הגיבוי נשמר."
"Failed to save backup with error: %1","שמירת גיבוי נכשלה עם שגיאה: %1"
"An error occurred while saving backup","אירעה שגיאה בעת שמירת גיבוי"
"The backup has been deleted.","הגיבוי נמחק."
